Numero;Sexo;Estado Civil;Edad;Grado Academico;Estado Academico;Provincia;Partido Politico;Genero;Respuesta
329;M;S;63;No;Aplica;Alajuela;Unidad Social Cristiana;Demisexual;N
330;M;S;50;Universitaria;Completa;Guanacaste;Accesibilidad sin Exclusión;Pansexual;N
331;M;V;29;Secundaria;Incompleta;Guanacaste;Partido Integración Nacional;Asexual;N
332;M;U;59;Primaria;Completa;Guanacaste;Movimiento Libertario;Antrosexual;S
333;F;V;59;Secundaria;Completa;Cartago;Partido Integración Nacional;Metrosexual;S
334;M;C;31;Educación;Técnica;Puntarenas;Unidad Social Cristiana;Transexual;N
335;M;U;40;Educación;Técnica;Limón;Liberación Nacional;Asexual;N
336;F;U;21;Universitaria;Incompleta;Alajuela;Renovación Costarricense;Pansexual;S
337;M;V;46;Universitaria;Incompleta;Heredia;Renovación Costarricense;Demisexual;S
338;M;C;39;Primaria;Completa;Limón;Accesibilidad sin Exclusión;Hetrosexual;N
339;M;U;42;Primaria;Completa;Limón;Partido Integración Nacional;Hetrosexual;N
340;F;C;61;Universitaria;Incompleta;Guanacaste;Acción Ciudadana;Metrosexual;N
341;M;S;59;Primaria;Incompleta;Guanacaste;Movimiento Libertario;Pansexual;N
342;M;V;26;Secundaria;Completa;Alajuela;Liberación Nacional;Transexual;N
343;M;C;54;Universitaria;Incompleta;Guanacaste;Unidad Social Cristiana;Bisexual;N
344;F;V;52;Universitaria;Incompleta;San José;Republicano Social Cristiano;Metrosexual;S
345;M;V;31;Secundaria;Incompleta;Puntarenas;Acción Ciudadana;Graysexual;S
346;F;U;23;Universitaria;Incompleta;Guanacaste;Partido Integración Nacional;Homosexual;N
347;M;U;54;Secundaria;Completa;San José;Unidad Social Cristiana;Homosexual;S
348;M;S;59;Universitaria;Incompleta;Limón;Renovación Costarricense;Graysexual;N
349;M;S;58;Universitaria;Incompleta;Guanacaste;Liberación Nacional;Metrosexual;S
350;F;V;45;Primaria;Completa;Cartago;Frente Amplio;Transexual;N
351;F;S;41;Universitaria;Incompleta;Guanacaste;Partido Integración Nacional;Bisexual;N
352;M;D;43;Primaria;Incompleta;Alajuela;Liberación Nacional;Bisexual;S
353;M;U;54;Secundaria;Completa;Guanacaste;Frente Amplio;Bisexual;N
354;F;V;21;Secundaria;Completa;Alajuela;Accesibilidad sin Exclusión;Demisexual;S
355;M;C;48;Secundaria;Incompleta;Cartago;Partido Integración Nacional;Pansexual;N
356;M;U;48;Educación;Técnica;Alajuela;Renovación Costarricense;Transexual;N
357;M;S;24;No;Aplica;Cartago;Accesibilidad sin Exclusión;Metrosexual;S
358;M;U;49;Secundaria;Incompleta;Limón;Liberación Nacional;Asexual;S
359;F;D;33;Secundaria;Incompleta;Limón;Partido Integración Nacional;Pansexual;S
360;M;V;48;Secundaria;Incompleta;Puntarenas;Renovación Costarricense;Demisexual;S
361;M;D;40;Secundaria;Incompleta;San José;Republicano Social Cristiano;Bisexual;S
362;M;V;33;Educación;Técnica;Guanacaste;Movimiento Libertario;Asexual;S
363;M;C;20;Primaria;Incompleta;Alajuela;Unidad Social Cristiana;Pansexual;S
364;F;U;51;Universitaria;Completa;Guanacaste;Movimiento Libertario;Pansexual;S
365;F;U;34;Primaria;Completa;Limón;Partido Integración Nacional;Homosexual;N
366;F;C;35;Educación;Técnica;Alajuela;Acción Ciudadana;Pansexual;N
367;F;D;61;Primaria;Completa;Alajuela;Partido Integración Nacional;Graysexual;N
368;M;U;38;Secundaria;Incompleta;Heredia;Unidad Social Cristiana;Homosexual;S
369;F;S;64;Primaria;Incompleta;Puntarenas;Acción Ciudadana;Hetrosexual;N
370;M;C;52;Secundaria;Completa;Cartago;Frente Amplio;Asexual;N
371;F;S;37;Universitaria;Completa;Cartago;Movimiento Libertario;Bisexual;S
372;F;V;28;Primaria;Incompleta;Limón;Accesibilidad sin Exclusión;Transexual;N
373;M;S;48;No;Aplica;San José;Frente Amplio;Pansexual;S
374;F;U;48;Educación;Técnica;Alajuela;Acción Ciudadana;Metrosexual;S
375;M;V;39;Secundaria;Completa;Puntarenas;Accesibilidad sin Exclusión;Bisexual;N
376;F;U;24;Universitaria;Completa;San José;Unidad Social Cristiana;Hetrosexual;S
377;M;D;25;No;Aplica;Puntarenas;Renovación Costarricense;Graysexual;N
378;F;U;44;Secundaria;Completa;Heredia;Unidad Social Cristiana;Demisexual;S
379;F;C;48;No;Aplica;San José;Movimiento Libertario;Asexual;N
380;M;V;32;Secundaria;Incompleta;Heredia;Renovación Costarricense;Pansexual;S
381;F;D;50;Universitaria;Incompleta;San José;Unidad Social Cristiana;Metrosexual;S
382;F;D;33;Primaria;Incompleta;Puntarenas;Unidad Social Cristiana;Demisexual;N
383;M;S;64;Secundaria;Completa;Guanacaste;Liberación Nacional;Demisexual;N
384;F;C;50;Universitaria;Completa;Alajuela;Renovación Costarricense;Metrosexual;N
385;F;C;37;Universitaria;Incompleta;Cartago;Movimiento Libertario;Bisexual;S
386;M;U;53;Universitaria;Completa;Limón;Partido Integración Nacional;Hetrosexual;N
387;M;U;61;Primaria;Completa;Heredia;Liberación Nacional;Antrosexual;S
388;F;U;39;Universitaria;Incompleta;Heredia;Liberación Nacional;Metrosexual;S
389;M;U;30;Primaria;Completa;Alajuela;Partido Integración Nacional;Antrosexual;N
390;M;D;32;Universitaria;Incompleta;San José;Republicano Social Cristiano;Hetrosexual;S
391;M;U;36;Secundaria;Incompleta;Alajuela;Partido Integración Nacional;Graysexual;S
392;M;V;32;No;Aplica;Heredia;Movimiento Libertario;Transexual;S
393;F;V;46;No;Aplica;Alajuela;Frente Amplio;Graysexual;N
394;F;S;58;Primaria;Completa;Guanacaste;Movimiento Libertario;Demisexual;N
395;F;C;46;Secundaria;Incompleta;San José;Acción Ciudadana;Bisexual;N
396;F;S;42;Primaria;Incompleta;Heredia;Accesibilidad sin Exclusión;Asexual;N
397;F;S;41;Educación;Técnica;Limón;Frente Amplio;Antrosexual;S
398;M;D;51;Universitaria;Incompleta;Cartago;Republicano Social Cristiano;Asexual;S
399;M;V;39;Primaria;Completa;Guanacaste;Frente Amplio;Antrosexual;N
400;M;C;23;Primaria;Completa;Puntarenas;Partido Integración Nacional;Metrosexual;S
401;M;V;51;Educación;Técnica;Puntarenas;Partido Integración Nacional;Demisexual;N
402;F;U;60;Primaria;Incompleta;Alajuela;Republicano Social Cristiano;Graysexual;S
403;M;C;48;Universitaria;Completa;Puntarenas;Accesibilidad sin Exclusión;Pansexual;N
404;M;D;22;Primaria;Incompleta;San José;Accesibilidad sin Exclusión;Bisexual;S
405;F;V;26;Secundaria;Completa;Puntarenas;Unidad Social Cristiana;Antrosexual;S
406;M;U;28;Universitaria;Incompleta;Guanacaste;Movimiento Libertario;Asexual;S
407;F;V;33;No;Aplica;Limón;Liberación Nacional;Asexual;S
408;F;V;29;No;Aplica;Guanacaste;Movimiento Libertario;Hetrosexual;N
409;F;S;24;Educación;Técnica;Heredia;Partido Integración Nacional;Metrosexual;N
410;M;U;59;Primaria;Incompleta;Guanacaste;Acción Ciudadana;Asexual;N
411;M;S;40;Secundaria;Completa;Puntarenas;Acción Ciudadana;Bisexual;N
412;F;S;36;Secundaria;Incompleta;Guanacaste;Partido Integración Nacional;Metrosexual;N
413;F;C;53;Universitaria;Incompleta;Cartago;Liberación Nacional;Metrosexual;N
414;M;C;56;Educación;Técnica;Puntarenas;Renovación Costarricense;Metrosexual;S
415;F;V;42;Universitaria;Completa;Puntarenas;Unidad Social Cristiana;Homosexual;N
416;F;D;56;Primaria;Incompleta;Heredia;Renovación Costarricense;Transexual;S
417;F;U;29;Secundaria;Completa;Limón;Frente Amplio;Pansexual;S
418;F;V;42;Secundaria;Completa;San José;Accesibilidad sin Exclusión;Hetrosexual;N
419;M;V;38;Primaria;Incompleta;Guanacaste;Liberación Nacional;Graysexual;S
420;F;C;57;Secundaria;Incompleta;Limón;Renovación Costarricense;Transexual;S
421;M;S;54;Secundaria;Completa;Puntarenas;Acción Ciudadana;Asexual;N
422;F;C;34;Primaria;Completa;Heredia;Accesibilidad sin Exclusión;Bisexual;N
423;M;C;23;Secundaria;Completa;Alajuela;Frente Amplio;Antrosexual;S
424;M;D;36;Universitaria;Completa;Guanacaste;Partido Integración Nacional;Bisexual;N
425;M;D;39;Secundaria;Incompleta;Puntarenas;Acción Ciudadana;Hetrosexual;N
426;F;D;47;No;Aplica;Guanacaste;Partido Integración Nacional;Hetrosexual;N
427;M;U;40;Educación;Técnica;Guanacaste;Frente Amplio;Bisexual;S
428;M;V;34;Primaria;Incompleta;Puntarenas;Unidad Social Cristiana;Homosexual;N
429;M;U;20;Educación;Técnica;Limón;Liberación Nacional;Transexual;S
430;M;V;36;Educación;Técnica;San José;Partido Integración Nacional;Hetrosexual;N
431;M;C;58;Primaria;Incompleta;Alajuela;Renovación Costarricense;Antrosexual;N
432;M;D;53;Primaria;Incompleta;Heredia;Liberación Nacional;Antrosexual;N
433;M;V;23;Primaria;Completa;Puntarenas;Acción Ciudadana;Transexual;N
434;M;S;33;Primaria;Incompleta;Cartago;Renovación Costarricense;Transexual;N
435;M;C;39;Primaria;Completa;Puntarenas;Renovación Costarricense;Antrosexual;N
436;F;V;27;Universitaria;Completa;San José;Acción Ciudadana;Hetrosexual;S
437;F;S;41;Primaria;Completa;San José;Liberación Nacional;Pansexual;N
438;M;S;22;Educación;Técnica;Guanacaste;Movimiento Libertario;Hetrosexual;S
439;M;C;64;Secundaria;Incompleta;Heredia;Liberación Nacional;Asexual;S
440;F;V;51;Educación;Técnica;Limón;Partido Integración Nacional;Transexual;N
441;F;C;58;Primaria;Incompleta;Alajuela;Unidad Social Cristiana;Homosexual;S
442;F;D;25;Secundaria;Incompleta;San José;Liberación Nacional;Graysexual;S
443;F;U;42;No;Aplica;San José;Unidad Social Cristiana;Homosexual;N
444;F;V;45;Educación;Técnica;San José;Acción Ciudadana;Bisexual;S
445;M;C;55;Educación;Técnica;San José;Liberación Nacional;Homosexual;N
446;F;D;43;Universitaria;Incompleta;Puntarenas;Frente Amplio;Pansexual;N
447;M;S;31;Universitaria;Completa;Alajuela;Liberación Nacional;Hetrosexual;N
448;F;D;57;Universitaria;Completa;Guanacaste;Liberación Nacional;Bisexual;N
449;M;C;24;Primaria;Incompleta;Alajuela;Republicano Social Cristiano;Pansexual;N
450;M;C;48;Universitaria;Incompleta;Guanacaste;Renovación Costarricense;Antrosexual;S
451;F;C;44;Secundaria;Incompleta;Puntarenas;Partido Integración Nacional;Pansexual;N
452;M;V;51;No;Aplica;Guanacaste;Republicano Social Cristiano;Antrosexual;S
453;M;D;27;Secundaria;Completa;Limón;Liberación Nacional;Transexual;S
454;F;V;42;No;Aplica;Cartago;Renovación Costarricense;Bisexual;N
455;M;V;21;No;Aplica;Cartago;Acción Ciudadana;Pansexual;S
456;F;C;52;Primaria;Completa;Guanacaste;Accesibilidad sin Exclusión;Asexual;S
457;M;U;18;Secundaria;Completa;Cartago;Accesibilidad sin Exclusión;Demisexual;S
458;M;U;60;Universitaria;Completa;Alajuela;Accesibilidad sin Exclusión;Graysexual;N
459;M;S;61;Universitaria;Completa;Heredia;Partido Integración Nacional;Graysexual;S
460;M;U;62;Universitaria;Completa;San José;Acción Ciudadana;Asexual;N
461;M;D;21;Secundaria;Incompleta;Heredia;Movimiento Libertario;Homosexual;S
462;M;S;62;Secundaria;Completa;Heredia;Frente Amplio;Antrosexual;S
463;F;U;19;Universitaria;Incompleta;Alajuela;Frente Amplio;Homosexual;S
464;M;C;63;Educación;Técnica;Puntarenas;Renovación Costarricense;Antrosexual;S
465;M;U;52;Educación;Técnica;Puntarenas;Liberación Nacional;Transexual;N
466;F;S;61;Primaria;Incompleta;Heredia;Liberación Nacional;Hetrosexual;N
467;F;U;50;Primaria;Completa;Puntarenas;Republicano Social Cristiano;Metrosexual;N
468;M;U;49;Primaria;Completa;Alajuela;Accesibilidad sin Exclusión;Antrosexual;N
469;M;S;60;Primaria;Incompleta;San José;Movimiento Libertario;Hetrosexual;S
470;M;S;49;Secundaria;Completa;Guanacaste;Accesibilidad sin Exclusión;Demisexual;N
471;M;V;55;No;Aplica;Cartago;Liberación Nacional;Hetrosexual;N
472;F;S;33;Primaria;Incompleta;Cartago;Acción Ciudadana;Metrosexual;N
473;M;D;56;Primaria;Incompleta;Guanacaste;Movimiento Libertario;Asexual;S
474;M;U;42;Universitaria;Incompleta;Cartago;Movimiento Libertario;Bisexual;S
475;M;S;35;Universitaria;Completa;Cartago;Renovación Costarricense;Asexual;S
476;M;C;38;Educación;Técnica;Puntarenas;Accesibilidad sin Exclusión;Bisexual;N
477;M;U;38;Educación;Técnica;Limón;Frente Amplio;Graysexual;S
478;M;V;39;No;Aplica;Guanacaste;Accesibilidad sin Exclusión;Bisexual;S
479;M;S;30;Universitaria;Completa;Puntarenas;Liberación Nacional;Transexual;N
480;M;C;30;Universitaria;Incompleta;Guanacaste;Renovación Costarricense;Transexual;S
481;M;S;53;Educación;Técnica;Limón;Republicano Social Cristiano;Antrosexual;S
482;F;C;29;Universitaria;Completa;Puntarenas;Republicano Social Cristiano;Antrosexual;S
483;M;S;23;Primaria;Incompleta;Alajuela;Partido Integración Nacional;Asexual;N
484;M;V;30;Educación;Técnica;Guanacaste;Republicano Social Cristiano;Hetrosexual;N
485;M;C;28;Secundaria;Completa;Limón;Partido Integración Nacional;Metrosexual;S
486;F;V;45;Secundaria;Incompleta;Alajuela;Accesibilidad sin Exclusión;Pansexual;S
487;F;V;57;Educación;Técnica;Guanacaste;Renovación Costarricense;Transexual;S
488;M;D;39;Universitaria;Completa;Guanacaste;Unidad Social Cristiana;Transexual;N
489;F;C;28;Secundaria;Incompleta;Limón;Renovación Costarricense;Asexual;N
490;F;S;48;Secundaria;Incompleta;Alajuela;Acción Ciudadana;Transexual;S
491;F;C;51;Secundaria;Incompleta;San José;Acción Ciudadana;Bisexual;S
492;F;V;44;Universitaria;Completa;Puntarenas;Movimiento Libertario;Asexual;S
493;M;U;21;No;Aplica;Cartago;Unidad Social Cristiana;Antrosexual;N
494;F;S;40;Educación;Técnica;Alajuela;Renovación Costarricense;Demisexual;N
495;F;S;36;Secundaria;Completa;Limón;Renovación Costarricense;Metrosexual;N
496;M;V;23;Universitaria;Completa;Guanacaste;Liberación Nacional;Asexual;S
497;M;S;20;Educación;Técnica;San José;Liberación Nacional;Asexual;S
498;F;D;31;Secundaria;Completa;Guanacaste;Acción Ciudadana;Antrosexual;S
499;M;V;61;Educación;Técnica;Guanacaste;Unidad Social Cristiana;Homosexual;S
500;F;C;21;Primaria;Incompleta;Guanacaste;Frente Amplio;Metrosexual;S
501;M;U;29;No;Aplica;Alajuela;Frente Amplio;Transexual;N
502;M;D;49;Secundaria;Incompleta;Puntarenas;Movimiento Libertario;Demisexual;N
503;M;S;21;Secundaria;Incompleta;Heredia;Accesibilidad sin Exclusión;Antrosexual;S
504;F;V;57;Primaria;Completa;Cartago;Republicano Social Cristiano;Bisexual;S
505;M;S;45;Primaria;Completa;Limón;Unidad Social Cristiana;Asexual;N
506;M;V;40;Universitaria;Completa;San José;Frente Amplio;Pansexual;N
507;F;V;60;Universitaria;Completa;Puntarenas;Acción Ciudadana;Demisexual;S
508;M;S;21;Educación;Técnica;Limón;Liberación Nacional;Graysexual;N
509;F;V;23;Primaria;Incompleta;Guanacaste;Liberación Nacional;Demisexual;S
510;F;S;38;Primaria;Completa;Cartago;Liberación Nacional;Asexual;S
511;M;C;33;Primaria;Completa;Cartago;Unidad Social Cristiana;Asexual;S
512;F;D;62;Universitaria;Incompleta;Limón;Renovación Costarricense;Transexual;S
513;M;S;51;Universitaria;Completa;Limón;Partido Integración Nacional;Pansexual;S
514;M;S;35;Primaria;Completa;Puntarenas;Frente Amplio;Hetrosexual;S
515;F;C;29;Primaria;Completa;Alajuela;Liberación Nacional;Hetrosexual;N
516;F;S;36;Secundaria;Completa;Cartago;Renovación Costarricense;Homosexual;S
517;F;C;59;Universitaria;Completa;Heredia;Renovación Costarricense;Graysexual;S
518;M;V;63;Primaria;Incompleta;Limón;Movimiento Libertario;Metrosexual;N
519;M;S;39;Universitaria;Incompleta;San José;Liberación Nacional;Homosexual;S
520;M;S;62;Universitaria;Completa;Cartago;Liberación Nacional;Metrosexual;N
521;M;U;22;Universitaria;Completa;Heredia;Frente Amplio;Hetrosexual;N
522;M;C;33;No;Aplica;San José;Frente Amplio;Antrosexual;N
523;F;V;42;Universitaria;Incompleta;San José;Renovación Costarricense;Antrosexual;N
524;F;V;56;Secundaria;Incompleta;Guanacaste;Renovación Costarricense;Pansexual;S
525;F;V;23;Primaria;Completa;Guanacaste;Frente Amplio;Asexual;S
526;F;S;59;Universitaria;Completa;Guanacaste;Partido Integración Nacional;Transexual;S
527;M;V;24;Educación;Técnica;Cartago;Movimiento Libertario;Homosexual;N
528;M;U;61;Primaria;Completa;Cartago;Frente Amplio;Hetrosexual;N
529;F;S;20;Secundaria;Completa;Heredia;Frente Amplio;Asexual;S
530;F;V;18;Universitaria;Completa;Cartago;Republicano Social Cristiano;Metrosexual;N
531;M;C;56;Educación;Técnica;Limón;Movimiento Libertario;Demisexual;N
532;M;C;49;No;Aplica;Cartago;Movimiento Libertario;Homosexual;S
533;F;D;53;Secundaria;Incompleta;Heredia;Acción Ciudadana;Transexual;N
534;F;C;39;Universitaria;Completa;Limón;Renovación Costarricense;Homosexual;N
535;M;S;31;Educación;Técnica;Cartago;Acción Ciudadana;Antrosexual;S
536;F;S;57;No;Aplica;San José;Frente Amplio;Bisexual;S
537;F;C;63;Secundaria;Incompleta;Alajuela;Partido Integración Nacional;Hetrosexual;N
538;M;S;48;Secundaria;Completa;Heredia;Acción Ciudadana;Bisexual;N
539;F;D;19;Universitaria;Incompleta;Limón;Republicano Social Cristiano;Antrosexual;N
540;M;D;20;Primaria;Completa;Guanacaste;Partido Integración Nacional;Antrosexual;N
541;F;U;20;Primaria;Incompleta;San José;Unidad Social Cristiana;Metrosexual;S
542;F;D;54;Secundaria;Incompleta;Cartago;Republicano Social Cristiano;Transexual;N
543;M;U;56;Primaria;Completa;Limón;Republicano Social Cristiano;Graysexual;N
544;F;U;34;Secundaria;Incompleta;Heredia;Frente Amplio;Antrosexual;S
545;F;U;50;Secundaria;Completa;Heredia;Movimiento Libertario;Graysexual;N
546;F;U;50;Educación;Técnica;Alajuela;Partido Integración Nacional;Bisexual;S
547;F;D;44;Secundaria;Incompleta;San José;Renovación Costarricense;Transexual;N
548;F;U;23;Educación;Técnica;Alajuela;Accesibilidad sin Exclusión;Bisexual;S
549;M;D;26;Universitaria;Incompleta;Guanacaste;Unidad Social Cristiana;Transexual;S
550;F;V;56;Educación;Técnica;Heredia;Unidad Social Cristiana;Metrosexual;S
551;F;U;63;No;Aplica;Cartago;Accesibilidad sin Exclusión;Antrosexual;N
552;M;V;60;No;Aplica;Alajuela;Liberación Nacional;Homosexual;N
553;F;S;47;Universitaria;Incompleta;Heredia;Partido Integración Nacional;Pansexual;N
554;F;C;62;Universitaria;Incompleta;Guanacaste;Acción Ciudadana;Asexual;S
555;M;S;53;Universitaria;Incompleta;Limón;Acción Ciudadana;Graysexual;S
556;M;U;45;Primaria;Incompleta;Heredia;Accesibilidad sin Exclusión;Transexual;N
557;M;S;42;Secundaria;Incompleta;Cartago;Acción Ciudadana;Bisexual;S
558;F;C;30;Educación;Técnica;Puntarenas;Unidad Social Cristiana;Antrosexual;S
559;F;V;19;Primaria;Completa;Cartago;Republicano Social Cristiano;Homosexual;S
560;F;C;58;No;Aplica;Cartago;Movimiento Libertario;Demisexual;S
561;M;V;26;Primaria;Completa;San José;Accesibilidad sin Exclusión;Transexual;N
562;F;U;22;Educación;Técnica;San José;Acción Ciudadana;Antrosexual;N
563;M;V;57;Secundaria;Incompleta;Alajuela;Frente Amplio;Graysexual;S
564;F;V;29;Secundaria;Incompleta;Puntarenas;Accesibilidad sin Exclusión;Graysexual;N
565;F;V;53;Primaria;Incompleta;San José;Accesibilidad sin Exclusión;Bisexual;N
566;F;V;31;Secundaria;Completa;Heredia;Liberación Nacional;Pansexual;S
567;M;C;57;Universitaria;Completa;San José;Republicano Social Cristiano;Transexual;N
568;F;U;47;Secundaria;Completa;Puntarenas;Frente Amplio;Hetrosexual;S
569;F;U;45;No;Aplica;Cartago;Frente Amplio;Pansexual;S
570;M;C;35;Secundaria;Incompleta;Guanacaste;Partido Integración Nacional;Pansexual;S
571;M;S;23;Educación;Técnica;Cartago;Partido Integración Nacional;Graysexual;N
572;M;C;26;Secundaria;Completa;Heredia;Republicano Social Cristiano;Graysexual;N
573;M;S;48;Secundaria;Completa;Alajuela;Frente Amplio;Metrosexual;S
574;F;D;35;Primaria;Incompleta;Limón;Movimiento Libertario;Pansexual;N
575;M;U;29;Primaria;Incompleta;Limón;Partido Integración Nacional;Demisexual;S
576;M;S;31;Educación;Técnica;Alajuela;Partido Integración Nacional;Pansexual;S
577;M;V;40;No;Aplica;Guanacaste;Acción Ciudadana;Metrosexual;N
578;F;U;22;Primaria;Completa;Guanacaste;Partido Integración Nacional;Homosexual;S
579;F;U;30;Educación;Técnica;Guanacaste;Movimiento Libertario;Antrosexual;N
580;F;C;24;Universitaria;Incompleta;Alajuela;Movimiento Libertario;Transexual;S
581;M;V;33;Universitaria;Completa;Alajuela;Renovación Costarricense;Homosexual;S
582;F;U;56;Primaria;Incompleta;Guanacaste;Renovación Costarricense;Metrosexual;S
583;F;D;58;Universitaria;Completa;Guanacaste;Liberación Nacional;Metrosexual;S
584;M;D;38;Universitaria;Completa;Puntarenas;Unidad Social Cristiana;Antrosexual;N
585;M;D;53;Educación;Técnica;San José;Partido Integración Nacional;Hetrosexual;S
586;M;S;63;No;Aplica;Heredia;Accesibilidad sin Exclusión;Transexual;N
587;M;S;46;Educación;Técnica;Limón;Accesibilidad sin Exclusión;Hetrosexual;N
588;F;U;37;Universitaria;Incompleta;Heredia;Accesibilidad sin Exclusión;Demisexual;N
589;F;D;63;Universitaria;Incompleta;Puntarenas;Partido Integración Nacional;Homosexual;N
590;F;C;48;Secundaria;Incompleta;Heredia;Movimiento Libertario;Pansexual;S
591;M;C;63;Primaria;Incompleta;Cartago;Partido Integración Nacional;Antrosexual;N
592;M;V;26;Educación;Técnica;Limón;Republicano Social Cristiano;Asexual;S
593;F;V;25;Secundaria;Completa;Heredia;Partido Integración Nacional;Pansexual;S
594;F;U;51;Educación;Técnica;San José;Liberación Nacional;Homosexual;S
595;F;U;32;Primaria;Completa;San José;Liberación Nacional;Asexual;S
596;M;V;35;Educación;Técnica;Alajuela;Frente Amplio;Homosexual;N
597;M;S;50;Universitaria;Incompleta;Puntarenas;Accesibilidad sin Exclusión;Metrosexual;N
598;F;C;35;Secundaria;Incompleta;Puntarenas;Accesibilidad sin Exclusión;Demisexual;N
599;F;U;61;Educación;Técnica;Puntarenas;Movimiento Libertario;Demisexual;N
600;F;S;51;Secundaria;Completa;Cartago;Renovación Costarricense;Homosexual;S
601;M;U;37;Universitaria;Completa;Cartago;Accesibilidad sin Exclusión;Demisexual;S
602;F;D;23;Primaria;Completa;Alajuela;Accesibilidad sin Exclusión;Antrosexual;N
603;M;D;44;Primaria;Incompleta;Heredia;Partido Integración Nacional;Demisexual;N
604;M;C;38;Primaria;Completa;Heredia;Liberación Nacional;Graysexual;S
605;F;U;37;Secundaria;Completa;Puntarenas;Accesibilidad sin Exclusión;Bisexual;S
606;F;C;58;Educación;Técnica;Guanacaste;Movimiento Libertario;Metrosexual;S
607;M;C;57;Educación;Técnica;Guanacaste;Frente Amplio;Metrosexual;S
608;F;U;49;Secundaria;Incompleta;Puntarenas;Movimiento Libertario;Homosexual;S
609;M;D;41;Primaria;Incompleta;San José;Movimiento Libertario;Hetrosexual;S
610;M;U;19;Universitaria;Incompleta;Guanacaste;Acción Ciudadana;Transexual;S
611;M;C;44;Secundaria;Incompleta;San José;Republicano Social Cristiano;Antrosexual;S
612;M;C;53;Primaria;Incompleta;Alajuela;Liberación Nacional;Homosexual;S
613;F;D;52;Primaria;Completa;Guanacaste;Liberación Nacional;Hetrosexual;S
614;F;U;34;Educación;Técnica;San José;Acción Ciudadana;Antrosexual;S
615;F;C;57;Secundaria;Incompleta;Heredia;Liberación Nacional;Homosexual;S
616;F;V;41;No;Aplica;Cartago;Liberación Nacional;Demisexual;S
617;F;U;52;Universitaria;Completa;Alajuela;Accesibilidad sin Exclusión;Asexual;N
618;M;C;18;Primaria;Completa;San José;Republicano Social Cristiano;Demisexual;S
619;M;C;44;Primaria;Incompleta;Limón;Acción Ciudadana;Hetrosexual;S
620;F;C;51;Universitaria;Completa;San José;Renovación Costarricense;Metrosexual;S
621;F;V;32;Secundaria;Completa;Guanacaste;Movimiento Libertario;Demisexual;S
622;M;D;64;Primaria;Completa;San José;Republicano Social Cristiano;Pansexual;N
623;F;U;45;Secundaria;Incompleta;Limón;Partido Integración Nacional;Pansexual;S
624;M;C;25;Universitaria;Incompleta;Cartago;Liberación Nacional;Pansexual;N
625;M;S;35;Secundaria;Completa;Puntarenas;Accesibilidad sin Exclusión;Transexual;S
626;M;U;28;Universitaria;Incompleta;Puntarenas;Unidad Social Cristiana;Hetrosexual;N
627;M;D;22;Educación;Técnica;Cartago;Partido Integración Nacional;Bisexual;S
628;F;U;29;Universitaria;Incompleta;Guanacaste;Accesibilidad sin Exclusión;Pansexual;N
629;M;D;64;Primaria;Completa;Limón;Republicano Social Cristiano;Transexual;S
630;F;U;22;No;Aplica;Cartago;Liberación Nacional;Antrosexual;S
631;M;C;56;Educación;Técnica;Guanacaste;Republicano Social Cristiano;Graysexual;S
632;F;V;32;No;Aplica;Alajuela;Unidad Social Cristiana;Asexual;N
633;M;V;42;Educación;Técnica;Alajuela;Liberación Nacional;Antrosexual;N
634;F;D;53;No;Aplica;Puntarenas;Unidad Social Cristiana;Asexual;S
635;F;D;55;Universitaria;Incompleta;Limón;Republicano Social Cristiano;Metrosexual;S
636;F;D;53;Secundaria;Completa;Guanacaste;Partido Integración Nacional;Homosexual;S
637;M;U;59;Secundaria;Completa;Alajuela;Accesibilidad sin Exclusión;Demisexual;S
638;F;C;50;Secundaria;Incompleta;Guanacaste;Republicano Social Cristiano;Pansexual;N
639;M;U;34;No;Aplica;Cartago;Republicano Social Cristiano;Transexual;S
640;F;C;40;Universitaria;Incompleta;Guanacaste;Renovación Costarricense;Antrosexual;N
641;M;C;64;Educación;Técnica;Cartago;Accesibilidad sin Exclusión;Homosexual;S
642;M;C;47;Primaria;Incompleta;Guanacaste;Movimiento Libertario;Pansexual;N
643;M;V;34;Secundaria;Completa;Guanacaste;Partido Integración Nacional;Homosexual;N
644;M;D;44;Educación;Técnica;Cartago;Partido Integración Nacional;Hetrosexual;S
645;F;V;40;No;Aplica;Cartago;Republicano Social Cristiano;Hetrosexual;N
646;M;V;31;Educación;Técnica;Guanacaste;Liberación Nacional;Hetrosexual;N
647;F;V;58;Educación;Técnica;Cartago;Republicano Social Cristiano;Asexual;N
648;M;D;23;No;Aplica;Guanacaste;Republicano Social Cristiano;Asexual;N
649;F;V;46;Universitaria;Incompleta;San José;Accesibilidad sin Exclusión;Graysexual;N
650;M;V;62;Primaria;Incompleta;Guanacaste;Liberación Nacional;Hetrosexual;N
651;M;V;52;Secundaria;Incompleta;Alajuela;Accesibilidad sin Exclusión;Homosexual;S
652;M;V;34;No;Aplica;Cartago;Frente Amplio;Hetrosexual;N
653;F;V;50;Secundaria;Incompleta;Heredia;Frente Amplio;Bisexual;N
654;F;V;53;Primaria;Completa;Guanacaste;Renovación Costarricense;Transexual;N
655;M;C;39;Universitaria;Completa;Heredia;Accesibilidad sin Exclusión;Asexual;N
656;M;V;58;Primaria;Completa;Alajuela;Partido Integración Nacional;Homosexual;S
